id	message	like_count
338477033387706_338489813386428	301	Pela primeira vez na história desse país a eleição é disputada apenas por dois candidatos: Bolsonaro e #elenão.
338477033387706_338488633386546	289	recomendo fazer uma live com o Paulo Guedes pra explicar essa questão de unificar os impostos e o CMPF pois isso pegou muito mau, a Mirian Porcão e portais esquerdistas tão dizendo que isso é pra beneficiar rico, recomendo um video ou uma live explicativa pois o assunto é muito serio e pode colocar sua candidatura a perde.
338477033387706_338490806719662	159	Está com saudades dessa festa né Capitão ?
Eu sei ... mas calma ... haverá uma maior esperando o Sr. aqui fora, o Brasil te espera !  Vamos gritar :
" O Capitão Voltoooooou
O Capitão Voltooooooou ....
🇧🇷️
338477033387706_338490576719685	105	Só passando para lembrar que faltam 17 dias para as eleições, bom dia 😎
338477033387706_338496163385793	61	Jair, agora entendi uma coisa, nunca essa frase fez tanto sentido...
"Deus não escolhe os preparados, ele prepara os escolhidos."

É pra você no momento!
Abraço e até a posse😉.
338477033387706_338491643386245	57	Amoooo ❤️❤️❤️
Dia 7 ... confirmar 17 ...
#BOLSONARO🇧🇷❤️
O Brasil precisa de você. ....
Receba sua vitória 🇧🇷❤️🇧🇷🇧🇷
338477033387706_338489340053142	65	A esquerda não irá nos dividir, somos todos iguais.
#MudaBrasil #MudaDeVerdsde #17🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
338477033387706_338489956719747	57	Uma nova história está sendo escrita! O Brasil pede socorro. 17 já.
338477033387706_338506373384772	49	Que moral vão ter esses institutos de pesquisas depois que Bolsonaro ganhar no 1º turno🤔
338477033387706_338496096719133	7	Material de campanha do PT na Bahia, achei debaixo da porta da minha casa. Lula como candidato. Que absurdo! Uma afronta às leis desse país.
338477033387706_338494313385978	28	Nao vejo a hora de chagar dia 7 meus dedos estão tremendo pra clicar 17 🇧🇷🇧🇷
#SouBolsonaro17
338477033387706_338524650049611	21	Essa é a primeira eleição que o candidato disputa com ele mesmo
Bolsonaro sim e Bolsonaro não!
😂😂😂😂

#17Sim
#BOLSONAROPRESIDENTE
338477033387706_338490606719682	28	Se Deus quiser vai dar tudo certo ... Venceremos essas eleições!!! 😎👉👉
338477033387706_338488926719850	39	vamos redobrar nossos esforços para ganhar no 1' turno Jair Messias Bolsonaro 17 😎👉👉🇧🇷️✅
338477033387706_338494543385955	22	É isso ai Jair,vamos que vamos,em terra de esquerdiopatas quem é da direita é mulheres lindas,de fibra,divas,que tem "esperança"que o Brasil ainda tem jeito!!!
#Bolsonaro17
#BolsonaroPresidente
#EleSimmmmmm
338477033387706_338491206719622	22	Estou ansiosa para o dia 7..!! Estamos contigo Capitão!!👉👉🇧🇷 #Bolsonaro17
338477033387706_338497636718979	19	É de arrepiar! Nem a seleção brasileira em copa do mundo deixa o povo assim tão eufórico. Brasil acima de tudo e Deus acima de todos! Força Bolsomito
338477033387706_167444287505045	1	Damien, my President put Skyrim's theme as bg music on his campaign video. It's hard to be cooler than that hahaha
338477033387706_338492940052782	17	Pessoal temos que ter foco total daqui pra frente, vamos fazer com que Bolsonaro 17 seja eleito logo no primeiro turno!
Passar pra aqueles eleitores que ainda estão indecisos, Mostar pra eles que o Brasil não aguenta mais 30 anos de escravidão, de quadrilhas  no poder.
338477033387706_338493110052765	15	É de arrepiar e emocionar. Caraca, o Brasil está depositando todas as fichas em você.  Não nos decepcione capitão!!! #17
338477033387706_338508686717874	19	Bom dia Presidente!! Vamo que Vamo!! Tá chegando o dia!! Adrenalina a mil!! 👊👊🇧🇷
338477033387706_338490486719694	8	A mídia está divulgando fake news sobre criação do CPMF, vamos explicar URGENTE!!!
Imposto de Verdade: 45-15-13= 17
338477033387706_338493840052692	10	Vamos estar em constante orações também, há muitas coisas diabólicas por trás desta eleição!
Devemos orar cada vez mais pela nossa nação!
338477033387706_338491223386287	9	Esse é o nosso presidente amado por todos nós brasileiros nossa bandeira nunca será vermelha
