id	message	like_count
1410927982375899_1410946615707369	405	Só dá Bolsonaro no debate de Record, detalhe, ele não está lá kkkk
1410927982375899_1410947469040617	289	Bolsonaro é o assunto do debate na Record kkkkk preferem detonar o mito do que falar das propostas deles.
1410927982375899_1410946649040699	107	Haddad alcançando Bolsonaro é tão verdade quanto a menstruação do Pablo Vittar.😂😂😂
1410927982375899_1410947075707323	118	Estão fazendo campanha para o senhor na Record Capitão....
1410927982375899_1410948662373831	64	Debate tá  bom, só se fala de Bolsonaro, olha o medooo...#17 primeiro turno.
1410927982375899_1410946482374049	82	Nunca ouvi uma frase tão sábia de um camponês brasileiro como esta: "Bolsonaro pode não ser o melhor fertilizante pro Brasil neste momento, mas é o melhor pesticida de que precisamos agora."
#BOLSONARO17
1410927982375899_2210685972339882	41	Primeira carreata que eu vou a seu favor.  Como é bom sentir a confiança que estamos no caminho certo e com um presidente cabra macho! Foi um prazer capitão,  Alagoas também está com você! 
É no primeiro turno!
1410927982375899_1410952955706735	34	Boa noite Capitão, Alagoas e o Brasil em peso está com vc. #Bolsonaro2018
1410927982375899_1410948505707180	38	Gente só da bolsonaro  no debate kkk a cada 10 palavras 9 é BOLSONARO 😂😂😂😂🇧🇷👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷
1410927982375899_1410946819040682	34	Enquanto eles perdem tempo difamando o senhor na TV, sua popularidade só aumenta kk !
1410927982375899_1410946552374042	35	Ou você está do lado do Bolsonaro ou está contra o Brasil. Lembre-se que a omissão é a forma de ação dos covardes.
#bolsonaro
#bolsonaro17
#elesim
1410927982375899_2210675799007566	21	O mito ta igual massa de pão, quanto mais bate mais cresce. Minha Maceió foi Lindoo.
1410927982375899_1410956772373020	20	mais de 40m na orla de Maceió acreditamos no nosso BRASIL.
1410927982375899_1410954405706590	28	Segundo Ibope e Data Folha, em Maceió só tinha 300 pessoas na manifestação. De toda evidência, eles aprenderam a contar nas escolas do PT  e do programa Brasil Pátria Educadora. E as imagens mostram apenas o início da passeata.
1410927982375899_282854382553951	5	The reds won't take our country. 
The people that want what's best for our country will vote for someone that's honest and has God in his heart, that person is Jair Messias Bolsonaro.
Just don't forget, Jair, that you promised that you would put a Brazilian embassy in Jerusalem. 
#Bolsonaro17 
#IsraelBrasil
1410927982375899_1410962475705783	12	Bastante orgulho da minha Alagoas, povo de bem, povo decente, vamos juntos mudar o Brasil. Brasil acima de tudo, Deus acima de todos.
1410927982375899_1410947995707231	6	Tão dizendo por aí que existem mais o #elenão do que o #elesim, vamos ver.

#EleSim ❤
#EleNão 😃
1410927982375899_1410952979040066	20	Maceió já é linda por natureza, hj estava um espetáculo 💚
1410927982375899_1004557623060174	8	Eu estive na carreata. Coisa linda de ser ver!Minha Alagoas mostrando que va de #B17 e no primeiro turno. Tinha muita gente do bem,uma multidao na belissima orla da nossa Maceió. Parabens a todos brasileiros que estão querendo mudanca de verdade. Capitão Jair nos representa e muito. Viva Maceió,viva o Nordeste,viva o Brasil livre do socialismo.pra sempre. Fora comunistas!Nossa bandeira jamais será vermelha. Brasil acima de tudo,Deus acima de todos! 
##B17
#Jairbolsonaro2018
1410927982375899_1410959589039405	15	É impressão minha ou o Brasil lotou mais que a copa do mundo🤔 😎👉👉 KKKK #elesimmmm
