id	message	like_count
276851812947393_276877249611516	474	A fala de Eduardo Bolsonaro sobre o STF, me deixou em dúvida quanto ao meu voto🤔
Não sei se voto antes ou depois do almoço!!😂😂🇧🇷👊🙏1️⃣7️⃣👉
276851812947393_276876946278213	292	Haddad deverá ficar em terceiro colocado nesse segundo turno...
Bolsonaro com 75%
Brancos e nulos 14%
Haddad 11% 😜😂👉
276851812947393_276878019611439	281	Perdi a maioria das minha amizade por conta em apoiar Bolsonaro :D Rsrs vocês vão ser meus amigos(a) nem que seja virtual ;) :D Rsrs
276851812947393_276876696278238	193	Alguém aí já fez o bolão pra ver em que dia que o Haddad vai sofrer o atentado fake? Me chamem que eu quero participar do bolão também.
😎👉🏻👉🏻#17 🇧🇷
276851812947393_276877309611510	141	A Verdadeira Historia da Esquerda.

A Esquerda é a única que consegue pegar Estudantes que não estudam, Trabalhadores que não Trabalham e fazer uma Manifestação Pacífica na base da Violência, onde o foco é lutar pela Democracia de forma antidemocrática em Nome da liberdade pela escravidão do estado e em nome da igualdade jogando classes uma contra as outras. 
Autor Desconhecido
276851812947393_276877769611464	103	Fica em casa, preserve se, estamos dia e noite fazendo campanha! Rumo a um novo Brasil!
276851812947393_276882869610954	56	"Haddad abriu a Bíblia e estava escrito: 
"Não roubarás!"
Pronto, jogou a Bíblia fora."
276851812947393_114414382882848	15	This is Bolsonaro, the more I support the better to reach the congress. Good afternoon to the tanners.😘
276851812947393_276894849609756	48	Quando senhor for eleito por favor Por favor ñ  se esqueça do povo nordestino  por ser região mais pobres quando senhor estiver na presidência invitar aqui eu estou apoiando senhor espero que ñ  decepcione nois povo brasileiro pra mim vc é  a salvação do Brasil  #Sounordestina #votoBolsonaro17
276851812947393_276880052944569	52	Que Deus abençoe cada um de vcs, pra que juntos trabalhem em favor do Brasil
276851812947393_276879636277944	46	Bolsonaro, você não pertence mais a você, é necessário que você vá para dentro de um quartel, não se esponha, o Brasil precisa de VC, cuidado com pessoas possam ter contato com vc, Fique dentro de um Quartel, como Lula fez na primeira eleição. Cuidado
276851812947393_2136993659885225	29	*URGENTE* - TEMOS DE VOTAR ANTES DAS 16HS. Isso é muito sério e precisa ser viralizado !!! Pensem!!! não é muito estranho que o horário de verão tenha sido alterado em diversos relógios, uma semana antes das eleições??? Pois é, as urnas estão programadas para trabalharem com o horário de verão, nos estados onde de costume muda-se o horário, e nos últimos anos sempre esta alteração foi feita em outubro e não em novembro como será este ano. Isso significa que as urnas não irão computar os votos após as 16hs, por assim já considerarem como encerrado o horário de votação  tendo em vista o horário de verão. Todo cuidado é pouco! São capazes de tudo! E é o Brasil que está em jogo, com alguns jogadores nada honestos! Não podemos perder 7 milhões de votos como no 1º turno! Faça sua parte! Divulgue esta mensagem!
276851812947393_276878042944770	34	Fim à inversão de valores! Criminosos não são "vítimas da sociedade", eles têm que pagar pelos seus crime!. O Brasil precisa de segurança pública como pré-requisito para o desenvolvimento!
276851812947393_276897192942855	22	Jair Messias Bolsonaro
Gostaria de dar uma sugestão.
Vamos fazer uma campanha para que na segunda feira após as eleições ou no Domingo com a sua vitória  todos troquem a capa do perfil do Facebook para a bandeira do Brasil.
276851812947393_276900812942493	18	Nós nordestinos estamos cheios de esperança por um BRASIL melhor, somos carentes principalmente de amor por parte de nossos governantes, votar em vc é uma forma de te dizer te amo, esperamos teu EU TE AMO investindo na nossa região com a transposição do Rio São Francisco para o alto sertão paraibano.
276851812947393_276883639610877	19	Agora é hora de focar no que interessa!     Temos que resgatar o Brasil! Acabando  a brincadeira! É trabalho duro. Brasil acima de tudo.
276851812947393_271107300210573	1	Io ti chiedo,mio presidente,no to care le impiegati di famiglia,io lavoro per tanti anni qui in Italia,e sono contenta do mio lavoro,deve difendere il lavoradore,no mi delude,con tanto amore,da Ivanete DA Silva Oliveira,vado a votare no consultato brasiliano a Roma per un Brasile migliore
276851812947393_276877759611465	16	Só não esquece que não queremos o Rodrigo Maia pra nada!!! Por favor hein Sr. Presidente!
276851812947393_276896596276248	8	Bota trabalho nisto pq o país esta largado e colocar esse trem nos trilhos vai que trabalhar com dois binômios básicos pulso firme e jogo de cintura, vejo os 2 primeiros anos tenebrosos para nosso país mas confio em vc capitão, para reverter este quadro.
