id	message	like_count
1807600466027291_1808719955915342	0	#Ciro12nosfacistas
1807600466027291_1807732789347392	20	Pulso firme no jornal nacional. Não deixe o oportunismo e a irrelevância das perguntas lhe abater. Olhe no olho do brasileiro e se mostre Ciro. Mostre cada vez mais que o senhor é a saída para este país.
1807600466027291_1810422675745070	0	ciro vc  vem  em  juazeiro  ba
1807600466027291_1807913002662704	2	Ciro é o futuro do Brasil. Lutar contra a intolerância religiosa, ter inteligência policial, gerar empregos ajudar as cidades do interior, moldar nossa educação faculdades e os ensinos médios técnicos e fundamentais. Para vivermos num pais mais ético mais igual respeito para todos onde o desenvolvimento não fique amarrado onde todos os lados funcionem e os pais se orgulhem de seus filhos.
1807600466027291_1807858252668179	2	O governo do Ciro Gomes será um divisor de águas no que diz respeito a prosperidade e desenvolvimento do Brasil e finalmente o Brasil irá despontar no cenário mundial como a grande potência mundial que nasceu para ser e que os EUA vêm impedindo desde sempre ( o encilhamento) ( pesquisem para saber o que foi)( depois a ajuda no golpe de 64 que destruiu a economia do Brasil até 1985) ( e por fim a roubalheira dos partidos políticos de 1985 para cá). O Brasil nasceu para ser grande e será.Assim como Roosevelt fez a transformação dos EUA, Ciro Gomes lançará o Brasil para o futuro.
1807600466027291_1809287595858578	0	Onde encontro adesivos para motos do ciro
1807600466027291_1807875265999811	1	#LulaPresidente
1807600466027291_1810293409091330	0	#Ciro12 🌷#CiroGomes
#Ciro12 🌷#CiroGomes
#Ciro12 🌷#CiroGomes
1807600466027291_1808050632648941	1	força meu jovem
1807600466027291_1807946109326060	2	#CIRO12
1807600466027291_1811419445645393	0	Show Cirão da Massa,o mais preparado
1807600466027291_1807858022668202	0	Tenho certeza absoluta que qualquer um que seja dono de empresa, ou que se fosse dono de empresa, jamais, jamais iria colocar no cargo de gerente industrial ou geral, um profissional que não dominasse pelo menos as bases do funcionamento de cada departamento. Não colocaria no cargo um cara que não tivesse o conhecimento necessário para discutir e argumentar com os gerentes de cada departamento afim de encontrar a melhor solução para os mais variados tipos de problemas. 
Então, por que colocar na presidência da república, um cara que não tem conhecimento de nada de nada. Tudo ele diz que vai dar a missão para fulano ou cicrano. Assim fica fácil ser presidente. Pô! Vamos usar a cebaça! Não é hora de aventura. Bolsonaro não tem a menor capacidade cognitiva para ser presidente.
1807600466027291_1807731702680834	1	O povo não gosta d Militar no Poder, nem metralhadora, gosta de Inteligência e humildade. Agora é vc CIRO.
1807600466027291_1808006575986680	1	#Ciro12
1807600466027291_1807820136005324	1	Meu candidato precisa fazer este corpo a corpo aqui em Salvador. A Bahia é o quarto maior colégio eleitoral do Brasil.   #Ciro12
1807600466027291_1808184402635564	2	Foi lindo!!!! #VoteCiro
1807600466027291_1807908645996473	1	É 12 neles! #CiroPresidente
1807600466027291_1809266329194038	0	https://www.facebook.com/JoaoAmoedoNOVO/videos/168733260639277/
1807600466027291_1807794649341206	4	Ciro da massa presidente
1807600466027291_1807819106005427	1	#Ciro12
1807600466027291_1809260242527980	0	Estamos juntos.
1807600466027291_1807794056007932	1	#Ciro12
1807600466027291_1810905845696753	0	Estou comvc.
1807600466027291_1807853529335318	1	Ciro 2018!!
1807600466027291_1809133389207332	0	#Ciro12
1807600466027291_1807724396014898	24	A cara da juventude (não alienada). Ciro/Kátia são duas jóias que muitas vezes pagam por serem autênticos. Essa dupla estar começando a dar liga. É só o começo meu povo!
1807600466027291_1807757599344911	2	Juntos na luta!! #CiroPresidente
1807600466027291_1807937562660248	3	Oiê, tudo bem? Queria me filiar para poder apoiar sua candidatura, mas não consigo me filiar pela internet ao PDT de Ribeirão preto. O que devo fazer? #Ciro2018
1807600466027291_1807980272655977	1	Aproveite o tempo dos candidatos de governadores pra se apresentar junto com eles, não pregue apenas pra convertidos, hora de ir a rua e enfrentar a massa. Não vi candidato melhro que ciro e estou apostando meu voto em vc, honre nosso esforço.
1807600466027291_1807865409334130	3	Há dois anos acompanho ciro gomes meu conterraneo. esse sabe os problemas do Brasil! Voto 12
