id	message	like_count
1840696209384383_1840727386047932	6	Saneamento  básico  nos bairros mais carentes que atrasa o aprendizado das crianças
1840696209384383_1840803936040277	1	Como faço pra pegar material de campanha? Rio de Janeiro, zona sul ou barra. Obrigada
1840696209384383_1840725699381434	1	Estarei presente !! #cirogomes12presitente
1840696209384383_1840700256050645	4	Com responsabilidade, sem populismo... Basta pensar no pobre, e não no poder. #ciro12 presidente!
1840696209384383_1840774892709848	5	#Ciro12.....hommyyyy se acalme e vá em frente!!!!

Vão atentar para tirar você do sério a cada segundo!!!
1840696209384383_1840859502701387	3	Ciro, saúde preventiva ao invés de curativa. Mais barata, e é muito melhor o cidadão não ficar doente do que ter que ir num hospital. Saúde preventiva custa menos e é mais eficaz.
1840696209384383_1841046066016064	3	Uma pena eu não poder estar presente, mas queria muito saber como podemos pensar numa política nacional de proteção aos animais, sabe?
É uma pauta muito constante no dia a dia. Na periféria a gente percebe como os animais de rua sofrem, e a própria população não tem consciência de seus atos.
Gostaria muito de ouvir sobre propostas nesse área.
Sei que, diante do quadro horroroso em que nos encontramos, a causa animal fica em segundo plano, mas eu gostaria muito de perceber a intenção de se pensar melhor nessas políticas.
Eu vi, também, que no próprio programa de governo há um tópico que fala um pouco sobre proteção animal, mas não se aprofunda.
Então, será possível pensar sobre a causa mais a fundo e falar sobre ela melhor?

Abraços!!!

Tô com Ciro! #12
1840696209384383_1841266952660642	0	Ciro eu e muitos artistas que conheço estamos com vc. Por um Brasil melhor, e com a cultura sendo levada de forma digna ao povo brasileiro. Ciro12
1840696209384383_1840950682692269	0	Eu tenho uma sugestão pra melhorar o Brasil. Ciro Gomes largue a política
1840696209384383_1841759179278086	0	CIRO GOMES ✌️ 12 🌹 já deu certo . Vote certo para não se arrepender depois . Ainda dá tempo .  Vote 12 🌹 . O Brasil 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 agradece .
1840696209384383_1844577058996298	1	Preciso deixar registrado. Estive presente e achei a ideia sensacional. Um sucesso total. Estava lotado com pessoas realmente interessadas em contribuir para um futuro melhor. #Ciro12🌹
1840696209384383_1841024056018265	1	Eu  acho q deveria dar mais atenção
 aos professores !!
Classe tão esquecida , n se houve dizer ND q ampare ,q de uma qualidade aos mestres , e TDS sabem q TD começa por um Professor !!
1840696209384383_1840967279357276	1	Mesma política de sempre, promessas que nunca serao cumpridas!! As mesmas raposas de sempre.
1840696209384383_1841015696019101	1	Quando você ouve aquele que é o corpo de um país suas chances de progresso sao notórias. Parabéns pela bela iniciativa de nos deixar participar de seu plano de governo.
1840696209384383_1844223892364948	1	Para melhorar a educação de base: fim da progressão automática!
1840696209384383_1840724216048249	0	Trabalhar pelo bem comum...não  em causa própria...isso mudaria  esse país  das  desigualdades sociais....
1840696209384383_1842185289235475	0	#Euquerominhabibliotecaescolar só com incentivo a leitura e informação de qualidade podemos formar cidadãos pensantes.
1840696209384383_1840995869354417	0	Ciro e a nossa saúde como ficará ? Visto a precariedade dela , falta de material , hospitais fechando , fila de espera .
1840696209384383_1841320519321952	0	Olá Ciro e equipe!
Eu sugiro que desenvolvam mais um pouco as propostas para a promoção da cultura brasileira. Como Ciro já afirmou isso se trata de identidade nacional. Sugiro que avaliem o projeto de lei do PROCULTURA que visa reestruturar os mecanismos de financamento para projetos culturais.
Ciro já conhece o projeto? Tem uma avaliação sobre ele?

Um abraço!
1840696209384383_1840741822713155	0	Gente, os bolsominions sequestraram o grupo de zap de PE. Moderação nada fez, sai do grupo e muitos tb estão saindo
1840696209384383_1846495578804446	0	Voto em Ciro em defesa da causa animal. Precisamos dar proteção aos indefesos👏
1840696209384383_1841397895980881	0	Usar moedas de outros países em comércio bilateral como os chiseses-russos
1840696209384383_1841649522622385	0	Vou votar em vc, mas tá tendo uma vinculação muito negativa com sua imagem. Tem pessoas não querendo votar mais. Torço pra vc evitar Taís situações.
1840696209384383_1840997456020925	0	Vamos recomeçar pelo incentivo a educaçao e cultura no pais?
1840696209384383_1843765255744145	0	Já estou mais de 1 ano acompanhando o trabalho do Ciro, e sempre gostei dos posicionamentos. Mas sinto falta de duas coisas, a posição para as questões ambientais, e as propostas e visões de Katia Abreu. É o que esta mais me preocupando.
1840696209384383_1841451329308871	0	Rever a lei de patentes. Deixá-la tão aberta quanto nos países que mais protegem capital intelectual. Criar instituição para gerir patentes das universidades. Permitir aos criadores (geralmente professores) participar com até 49% das patentes produzidas nas universidades. Buscar aproximar a pesquisa aplicada a produção industrial. Os recursos obtidos com tais patentes serem revertidos em prol das universidades.
1840696209384383_1841075189346485	0	Alguma proposta pra federalização das escolas públicas? Uma vez que os IF's têm notoriamente uma educação de ótima qualidade. Era disso que eu tava falando Major! Igor Mesquita de Medeiros😉
1840696209384383_1840701279383876	3	#ciro12 O melhor
1840696209384383_1841132642674073	0	A polícia do RJ precisam de mais preparo. Chegam atirando, matam inocentes, e confundem negros com bandidos. Minha irmã é professora no complexo da Maré e oq mais ver é isso, já perdeu aluno prq a polícia matou prq entram atirando. Confio em vc Ciro! Minha esperança está com vc num país melhor pra mim e meus filhos! #Ciro12
1840696209384383_1840716466049024	3	Gostaria de uma classe média menos escravizada.
1840696209384383_1840698946050776	2	Quero saber que vai fazer. pelos cinquentão desempregado?
1840696209384383_1840698112717526	2	#Ciro12
1840696209384383_1840699222717415	2	Devidamente inscrito.
