id	message	like_count
302407613797845_496215244239555	51	O Brasil não está preparado para ouvir a verdadeira verdade e muito menos pra Ciro presidente.
302407613797845_302420840463189	41	Ciro não suma, suas ideias e reflexões são importantíssimas...
302407613797845_302425410462732	26	Aqui em Campo Grande MS dia 18 começamos já a luta para eleger Ciro presidente. Será no PDT a instalação do Núcleo de Base “Ciro 2022”! Rua Abrão Julio Rahe 2399.
302407613797845_496216377572775	18	País completamente dividido e carregando uma verdade absoluta sem condições de dialogar. Impressionante.
302407613797845_302420683796538	12	um dos melhores voto que ja dei! e votarei sempre! Ciro 2022
302407613797845_496215107572902	9	O juventude Danone essa brasileira, a maioria dentro da casa do papai ou da mamãe AFF...
302407613797845_302421203796486	7	Consistência e firmeza.  Acho muito competente! Faz a análise correta da derrota.
302407613797845_302425280462745	6	Muito bom Ciro. Você está corretíssimo.
O som está baixo. e a imagem ruim.
302407613797845_302421253796481	7	CIROOOOOOOOOOOOO A ESPERANÇA ABAIXO DO PODER DE DEUS ,PARA NÓS BRASILEIROS
302407613797845_496212717573141	1	Pessoal a # é pra ser #2020e2022, ele vai se deus Quiser vai ser prefeito da Capital do Ceará, vai mostrar serviço e provar mais uma vez que pode governar o Brasil.
302407613797845_1125904574249094	1	Lembrei de Caetano,  se vcs em política, como são em estética, o Brasil vai mudar. É essa juventude  que quer mudar este País.
302407613797845_246240999630793	1	O som ta chegando bem...só a imagem ta meio ruim mas ta suave
302407613797845_302425430462730	2	O que ele fala das ONGs é a realidade. O onguismo é um dos tentáculos do neoliberalismo.
302407613797845_302420430463230	0	Só chego na minha Salvador a noite..pena que não vou aproveitar... Deixa pra uma próxima..
302407613797845_302419727129967	1	Meu Deus do céu, troca de batata porque essa não tá gravando muito bem.
302407613797845_302418783796728	0	Olha com quem ele anda. Desse jeito o Ciro não terá credibilidade nunca
302407613797845_246250769629816	1	afff. será que não tem ninguém para fazer ums transmissão de qualidade.
