id	message	like_count
2046953838758618_2046956152091720	226	O nome dele não é namorado da Fátima Bernardes?
2046953838758618_2046965902090745	141	Encontro com namorado da Fátima Bernardes
2046953838758618_2047038755416793	58	Briguei com tantas pessoas por causa do Ciro... Dei uma trégua até 2022. 😂😂😂😂😂😂
#MeuPresidente ❤
2046953838758618_2047112628742739	15	namorado da fatima bernades nao, 

Namorado da ex mulher do William Bonner
2046953838758618_2046958778758124	52	A Cara de felicidade de alguém que tá do lado do Ciro 👏👏👏👏
2046953838758618_2046972935423375	26	Presidente e vice!
2046953838758618_2046955912091744	32	2 crushs da política! 🤩
2046953838758618_2046992442088091	7	Cirão bora fazer umas caminhadas pra perder essa barriguinha de chopp hahahaha🤣 #brincadeira
2046953838758618_2047236242063711	9	O PDT precisa divulgar melhor os lugares onde o Ciro vai fazer palestra!!!
2046953838758618_2046956598758342	13	Eu conheço ele por Namorado-da-Fátima
2046953838758618_2046960708757931	13	Tulio quem é? Ahhhhh o Namorado Da Fátima Bernardes 🤣🤣🤣
2046953838758618_2046976365423032	3	E qual foi a sensação de se encontrar com esse lindo em, Namorado da Fátima Bernardes?
2046953838758618_2046957442091591	9	Isso aí. O povo que vai mudar esse país. Simbora!
2046953838758618_2046965558757446	10	É o namorado da Fátima Bernardes?? 😀
2046953838758618_2046990302088305	1	O Ciro todo faceiro e serelepe com o namorado da Fátima Bernardes
2046953838758618_2046966642090671	3	Não dá nen pra dizer qual o mais lindo dos dois!! FÁTIMA TAMBÉM É UMA GATA!! E A ESPOSA DO CIRO TAMBÉM!!
2046953838758618_2046991858754816	1	O que será q passa na cabeça dos ...queridos que sabendo o nome do cara ficam comentando a mesma 💩chamando de namorado da Fatima 🤔😒 Brasil o país do desrespeito ao proximo, Amém.
2046953838758618_2046961572091178	5	amizade verdadeira faz muito bem pra nós seres humanos
2046953838758618_2047788078675194	0	Túlio,lembre-se deste velho ditado.digas me com quens andas que lhes direis quem o és.
2046953838758618_2046983128755689	0	Não vai fazer outra palestra ou debate em Salvador além do da UFBA?
2046953838758618_2047011045419564	4	O meu CIRO CIRO12 😘❤️👍💋 e muito mais bonito de que o Túlio 👏👏👏
2046953838758618_2046956008758401	4	E o namorado da Fátima 🤣🤣
2046953838758618_2046960012091334	3	O namorado da Fátima Bernardes?
2046953838758618_2046959295424739	0	O Túlio é tipo o Jorge Fernando né só tem foto sorrindo
2046953838758618_2048283751958960	1	Lindos!! Adorei a sinceridade do abraço! #Ciro2022
2046953838758618_2047791552008180	0	Pô... o fotógrafo podia ter tirado aquela baba ali hein?! 🤣
2046953838758618_2047132885407380	0	Não existe quem tenha uma cara de vovozinho mais simpática que essa Jeovana Jully
2046953838758618_2046960422091293	1	EXPLODINDO DE FOFURA!
2046953838758618_2046976628756339	1	Como tá Ceará Ciro?
2046953838758618_2046994075421261	0	#cirao esse será nosso próximo presidente, sabedoria e competência, pra mudar o brazil pra melhor!!
2046953838758618_2046956265425042	0	O namorado da Fátima Bernades
2046953838758618_2046962075424461	0	Que abraço gostoso
2046953838758618_2046998685420800	0	Quem é túlio Gadelha?
2046953838758618_2047171895403479	0	Namorado da Fátima Bernardes
2046953838758618_2047073972079938	0	O namorado de Fátima?
2046953838758618_2047330222054313	0	
2046953838758618_2047396715380997	0	É o namorado da Fátima Bernardes?
2046953838758618_2050844515036217	0	Pra foto ficar perfeita, faltou a Tábata 💖
2046953838758618_2047199285400740	0	Hoje não era dia de trabalho para os deputados?
2046953838758618_2046960848757917	0	Quando sai o livro Cirão?
2046953838758618_2046986998755302	0	olha que legal o namorado da fatima bernardes....que tudoooo.
2046953838758618_2046995982087737	0	Meus dois Divos Ciro 2022
2046953838758618_2046961228757879	0	Prefiro o Willian Bone kkkkk
2046953838758618_2047754682011867	0	Meu presidente😍😍
Muito lindo 😍
2046953838758618_2047677428686259	0	Duas grandes figuras!!! Muito legal!!!♡♡♡
2046953838758618_2046981358755866	0	Meu cachorro pediu o link
2046953838758618_2047412365379432	0	Pena que perdi.
2022 voto de novo!!
2046953838758618_2047038958750106	0	Pode ser impressão minha, mas o "sorriso" desse Tulio é muito forçado 🙄
2046953838758618_2047215425399126	0	Ciro, nosso presidente!!
2046953838758618_2047162365404432	0	Tamusjuntos Ciro 2022 nosso presidente.
2046953838758618_2048814788572523	0	Esse é o namorado da ex do Bonner
2046953838758618_2047001662087169	0	Aproveita da uns conselhimhos pra ele largar o Freixo.
2046953838758618_2046993332088002	0	Ah Cirooooooooooo fica caladinho não!+
2046953838758618_2047142515406417	0	Olha o namorado da Fatima Bernardes ai gente
2046953838758618_2048985968555405	0	
2046953838758618_2048985951888740	0	
2046953838758618_2048985938555408	0	
2046953838758618_2048985921888743	0	
2046953838758618_2048985895222079	0	
2046953838758618_2048985915222077	0	
2046953838758618_2046986835421985	0	Ciro e o namorado de Fátima
2046953838758618_2046966235424045	0	Positividade, luta e união!
2046953838758618_2047647685355900	0	#Ciro Gomes Meu Presidente 2022
2046953838758618_2047035428750459	0	Não sabia que o namorado da Fátima Bernardes era deputado
2046953838758618_2047014238752578	0	Eu sempre que olho penso que é o Emílio Dantas kkkkkkk
2046953838758618_2047230402064295	0	Tem Fátima que é cega...
2046953838758618_2047018902085445	0	Amizade linda!
2046953838758618_2046986515422017	0	Ciro e o namorado da Fátima Bernardes.
2046953838758618_2047274742059861	0	Grande Tulio, cuidador de idosas!
