id	message	like_count
237813786912320_237820653578300	10	Sim!!, meu lindo ir querido presidente Haddad , falta so seis dias pra sua grande Vitória com fé em Deus
237813786912320_237867846906914	12	Faltam 6 dias para o mito ganhar 
#bolsonaro17choracambada
237813786912320_237855336908165	8	"Eu tô com ele,
eu tô com ela,
eu tô com Lula, Haddad e Manuela."
Por um #BrasilFelizDeNovo, somos #13HaddadEManuela e
#LulaLivreJá pois #LulaÉInocente. #LindenbergeChicoAlencarnoSenado #WadihDeputado Federal #13DeputadoEstadual #NenhumDireitoaMenos #13neles #HaddadSim
237813786912320_237862773574088	5	Graças a Deus está chegando! 13 neles e o Brasil feliz de novo!
237813786912320_237827166910982	5	E preciso que o coligacao pt se cominique com os consu dos eua para que nos da esquerdo possamos vota com seguranca porque tenhe muitos eleitors provocadores e baderneiro aqui na grande Bostom. Sao maloqueiro e ate pessoas aribada ai do brasil. Agracento. A atencao , e Haddad e a solucao
237813786912320_237817846911914	3	Viva Brasil un pueblo con huevos viva Fernando haddad el discípulo del pueblos viva Lula un héroe de verdad no un lame bota yanki
237813786912320_237816493578716	6	6 longos dias! Mas a cada golpe a vontade de ganhar repica!!!
237813786912320_237816240245408	15	Engraçado né a delação foi feita em abril,so agora o Moro solta parte dela???? Na véspera das eleições,vem m dizer q esse juiz d 2 categoria não tem lado? Ah esqueci ele é cria do PSDB,tá indo pro tudo ou nada a favor do Geraldo Alckmin
#Fora Moro
#ELENAO
237813786912320_237848230242209	4	Olá presidente HAddad. 
DE  um forte  abraço  em meu Amigo 
Luiz Inácio  Lula    É   13 NA CABEÇA  .
237813786912320_237870966906602	3	Seis dias para eu votar sem medo de ser feliz em #Haddad13; #HaddadPresidente.
237813786912320_237824486911250	4	Vai acontecer muita coisa ainda pq impedir povo voltar ao governo ! Delação de Palocci sem prova é igual ao apartamento que chamaram de triplex para incriminar Lula! O que Moro mais quer? Entregou Embraer, reservas e agora quer entregar o que resta do Brasil?
237813786912320_237873976906301	2	Tivemos uma Presidenta deposta e nem por isso caímos na conversa de que ela cometera crime.
QUEM NAO ESQUECEU, VOTA HADDAD E MANUELA.  💃🚶
237813786912320_237833386910360	2	Eu sou #13 queremos #mudaBrasilcom #Haddad sou aq de José de freitas no piaui te adoroooó
237813786912320_237862570240775	2	Alguem pode explicar por q o pessoal do ciro ...diz só ele pode vencer bosonaro no segundo turno sendo que nas pesquisas mostram haddad em segundo
237813786912320_237821123578253	2	Pede a Manuela D'avila pra ficar nos bastidores. Fala demais!!! Ela é vice.Pode colocar nossa campanha em risco.
237813786912320_237882050238827	1	Haddad não deve ir ao debate da Globo. 
O debate ficaria desacreditado. Debater com quem?
Essa divulgação da pesquisa manipulada hoje já demonstra que querem acabar mesmo com o PT.
#HaddadnãováaodebatedaGlobo
237813786912320_237817070245325	4	13 neles! O PT é o partido mais transparente e trabalhador do Brasil! Por isso tem a maior militância e a maior simpatia dos brasileiros! Será que a coxinhada não se toca?!
237813786912320_237878243572541	1	A luta contra o golpe continua e o fascismo. Seguimos firmes por #LulaHaddadEManu e todo o país
#HaddadPresidente
#ManuNoJaburu
#LulaLivreJá
237813786912320_237845600242472	0	Você considera injusto não poder sacar o seu saldo do FGTS para financiar seus estudos? Da forma atual, você não tem liberdade para decidir por exemplo entre investir na compra de um imóvel ou investir nos seus estudos, seja por necessidade do trabalhador de se alfabetizar, cursar um supletivo, curso técnico, superior ou especialização.
Prezado candidato (a) apoie essa ideia!
237813786912320_237937136899985	0	Vamos conversar com os indecisos... tirar duvidas... Esclarecer as fakes 
Pedir pra pessoa lembrar de projetos do governo lula... Vamos trabalhar prq não será facil essa luta contra o coiso e seus coisinhos.
237813786912320_237827043577661	2	Abaixo as delações do Palocci e a suspensão do sigilo pelo Moro. Haddad Presidente!
237813786912320_237820973578268	14	PT gastou R$ 1,4 bilhão para eleger e reeleger Dilma, diz Palocci em delação

https://oglobo.globo.com/brasil/pt-gastou-14-bilhao-para-eleger-reeleger-dilma-diz-palocci-em-delacao-23116232
237813786912320_237814773578888	7	Ninguém ver o que o pt fez agora falar mal ai adora por isso meu voto é de minha família e 13
237813786912320_237865640240468	0	adad you are going to get crushed on Sunday  bye bye PT  Forever
237813786912320_237816963578669	1	TODOS ELES ESTÃO DESESPERADOS! Kkkķkkk
#NINGUÉMVAIBOTARAMÃONOMEU13FIRMEZA!!
Eu Já sei o que o #LULA vai dizer: #HADDADSIMSIMSIM
QUALQUER falta de RESPEITO... #EleNÃONeles   #MULHERESEleNÃOdoBRASILUNIDAS #AgoraTôFOCADAnaRESISTÊNCIAdo13praDERROTAResseCOISO! #EULUTOPRAVENCER!!
#TeEntupiremosDe13Fascista!
237813786912320_238031860223846	0	Haddad 13,Ciro não emplacou nem no nordeste,onde Haddad 13 está disparado.
237813786912320_237830116910687	2	Os Brasileiros vai ser feliz com Haddad presidente do Brasil
237813786912320_237814250245607	3	só sei que meu voto será de HAddad 13. 🌷
237813786912320_237844050242627	1	# Haddad presidente para o Brasil ser feliz de novo ⛦⛧⛥⛦⛧⛥⛦⛧⛥⛧⛦
237813786912320_237834776910221	0	Até. A vitória. 13.  E. Nós. Brasil. Melhor.
237813786912320_237832000243832	0	Sim.querido haddad sou nordestina.moro em.SP mas meu voto é toda minha família q bem grande e seu.e 13 domingo e sua e nossa vitória e 13 e haddad e Lula e nos dê novo
237813786912320_237835576910141	0	Vote HADDAD/LULA/MANU🌹13 O Brasil feliz de novo #somostodoslula
237813786912320_237857816907917	2	BOLSONAROOO EM VCS!!!!
237813786912320_237844663575899	1	#HaddadPresidente
#Vote13
237813786912320_237818666911832	1	#Haddad Presidente 13
237813786912320_237815513578814	1	Contagem regressivaaa
237813786912320_237833066910392	1	E vamos à vitória, meu presidente. #Haddademanu
237813786912320_237839743576391	1	13neles
237813786912320_237864520240580	1	#HaddadPresidente
237813786912320_237814280245604	2	13 e claro
237813786912320_237866466907052	1	Haddad Presidente 💕💕💕
237813786912320_237815980245434	1	Haddad
237813786912320_237826783577687	1	Pra votar em vc meu Presidente!!!!! É 13
237813786912320_237828740244158	1	#HaddadPresidente13
237813786912320_237815066912192	2	#HaddadPresidente
237813786912320_237867710240261	1	Haddad 13
237813786912320_237816383578727	1	⭐⭐Vai dar PT!⭐⭐
❤❤❤13❤❤❤
237813786912320_237863966907302	1	Haddad 13
237813786912320_237832973577068	1	#13confirma #Haddadpresidente #Lulalivre #Lulalivri
237813786912320_237830800243952	1	13 neles!
237813786912320_237815540245478	2	Haddad presidente 13 geral
237813786912320_237814516912247	2	#Voto13
237813786912320_237834530243579	1	O povo quer a democracia e não o fascismo do COISO... HADDAD 13
237813786912320_237826463577719	1	Lula de novo
237813786912320_237827320244300	1	Sou 13 é Haddad!
237813786912320_237876710239361	1	#Haddad 13
237813786912320_237821973578168	1	E 13 neles 😍😍🙈👏👏
237813786912320_237840033576362	1	13 HADDAD PRESIDENTE
237813786912320_237814696912229	1	#HaddadPresidente
237813786912320_237828356910863	1	13 neles   meu  presidente  Haddad
237813786912320_237841663576199	1	Lá vem há hora 1313 neles haddad é melhor por nosso Brasil
237813786912320_237865246907174	1	Vamos de 13
237813786912320_237876680239364	1	#Haddad 13
237813786912320_237876663572699	1	Lula livre e 13
237813786912320_237815603578805	1	13 neles
237813786912320_237815086912190	1	A vitória do povão 13 com força Haddad Lula
237813786912320_238062366887462	1	6 dias pra PF te colocar no teu lugar
237813786912320_237815376912161	1	É 13 13 e13 quantas  vezes for preciso ele simmmmm###
237813786912320_237842936909405	0	#HaddadPresidente 
#Vote13
237813786912320_237837926909906	0	Ansiosa para votar 13 e ver #OBrasilFelizDeNovo
