id	message	like_count
314931145986169_314935079319109	107	Meu presidente é o professor universitário, mestre em economia e doutor em filosofia pela USP Fernando Haddad 13 #Haddad13
 #Haddadsim #ditaduranão
314931145986169_342289089856443	86	O voto é SECRETO. Só vc sabe em quem vc votou, e sabendo que esse é nosso poder, e dessa vez é escolher entre democracia e fascismo. Entre amor e ódio. #ViraVoto
314931145986169_2166068643658560	68	Ainda da tempo de salvar o Brasil!!!!! Vamos eleger um professor!!!!
314931145986169_322109131918079	47	Os bolsominions estão detonando fake News mas nós somos resistência.  Brasil com Haddad13. 🇧🇷❤👏👏👏👏
314931145986169_314935049319112	42	Quero ver o Bozo fazer isso! Entrar na favela no meio da multidão! #Haddad13
314931145986169_724219091304289	41	Alagoas está com vc Fernando Haddad é13 e o amor contra o ódio
314931145986169_1085986474913327	39	O Nordeste vai te levar a presidência
É Haddad 13 
A Bahia é Haddad 13💗💗💗💖💖
Fies
ProUni
Pronatec
314931145986169_311928339396870	32	Abaixo a ditadura nos aqui na Itália estamos com a Democracia ... abaixo o fascismo ... a “gente” quer Haddad
314931145986169_572375229850410	33	Senhor, olhe para as comunidades indígenas que se encontram desesperadas nesse momento! Proteja os oprimidos! Amém! 🙏
314931145986169_891349164409694	23	Campanha no meio do povo! E não com fake news no whatszap! Isso é respeito e coragem! Merece meu voto #Haddad13
314931145986169_327706001147033	17	Se jogarem uma carteira de trabalho aí no meio, sai todo mundo correndo!!!
314931145986169_311931829396521	25	Escolhemos votar no professor Haddad!📕📖✏️
E não num ex militar mentalmente doente.💣💥

#haddadpresidente
314931145986169_347109692500077	16	#HaddadPresidente13 Sonhei que tinha sido 53% a 47% (para nós, claro)! <3
314931145986169_1008178562695214	18	Estive em dois shows em SP e me arrepiei quando escutei ele não,vendo agora esse vídeo meu coração esta a mil # Fernando Haddadpresidente
314931145986169_2166070646991693	17	Pelo respeito as periferias brasileiras!
Pelo respeito ao povi trabalhador que constrói, com seu suor, essa nação!
314931145986169_2166070440325047	16	Voto no #HaddadSim porque não há a menor condição de um professor estar errado e um ex capitão paraquedista de conduta duvidosa estar certo.
314931145986169_264226057568065	17	Luiza Erundina, orgulho dessa paraibana 💪❤
#HaddadSim 📚 #HaddadPresidente 🇧🇷 #SomosHaddad ⚘ #SomosManu
314931145986169_314935365985747	14	Vamos virar! Vamos juntos vencer o ódio o fascismo 🤜🏼🤛🏿
#viravoto #HaddadSim #ManuELAsim #ManuNoJaburu
314931145986169_254328115266413	14	Vendo isso vejo que escolhi a profissão certa, sou Assistente Social com muito orgulho e defendemos a democracia #HADDADSIM
314931145986169_2166070070325084	11	Meu Deus cubra de bênçãos  seu povo .Pai não  deixe seu povo nas mãos do homem violento.  Em nome de Jesus.  Os para meu país.  #Haddad13
314931145986169_891353497742594	9	Minions vao p o zap conversar c o Bozo d vcs q fala d dentro d uma sala hahaha
314931145986169_1085980624913912	12	Os coisas estão tremendo, #Haddad será o nosso Presidente!!!
314931145986169_342293309856021	11	No Povão e isso ai meu Presente, Eleição se ganha nas ruas com o Povo, não no Whast!!! Parabéns 💚💛💛💛💛💚💚💚💚
314931145986169_311055449723050	14	Cadê q o outro faz um evento lindo desse com a minoria dele, respeita nem os eleitores dele🤣🤣vou de Haddad e Manu❤✌
314931145986169_1116984621794120	9	Por um Brasil democrático e que valorize à educação, nossas áreas de proteção ambiental, a equidade social, os direitos das minorias, a ciência brasileira, a diplomacia internacional! 😊🇧🇷📚💙💛💚 Haddad13
314931145986169_353405258752305	13	"Pratique o amor que você prega"

#FrenteDosEvangélicosPeloEstadoDeDireito
#Elenão
314931145986169_341285679982464	12	Já chegou povo do Brasil é inteligente soube E saberá sempre escolher o que é o melhor para nossa gente Haddad Presidente 13
Fascismo não ao ódio não a ditadura
