id	message	like_count
292005268190324_2219536201663902	491	"Vão perder feio, porque aparelharam as repartições publicas, porque acharam que eram donos do país, mas o Brasil não aceita ter dono".

-Gomes, Cid 15/10/18.

#LulaTaPresoBabaca
292005268190324_292008624856655	479	Haddad não fique ansioso por debates. Em 2019 dr. Moro te espera em Curitiba . São 32 processos,meu nego. Haja debate.
Te acalma !
292005268190324_2219539328330256	71	Campanha de paz,inteligencia e humanidade.Viva o homem preparado,e de bons costumes.13
292005268190324_2219535708330618	46	Haddad que bom que está aqui. Estava precisando escutar um pouco você falar para retomar as energias.
292005268190324_771044009899583	48	Viraviravira vira vira vira virouuuuuu!!! 😁😁😁😁😁😁😁😂 #Caixa2doBolsonaro #Haddadpresidente Vota na gente!!!!! 😘😘😘😘😘
292005268190324_771043689899615	39	Agora  vai de verdade  Fernando Haddad presidente do Brasil  parabéns  todos  junto
292005268190324_292008048190046	27	Haddad Presidente ... 13 ... bora militância mostrar que fazemos a diferença ... a hora é agora ...
292005268190324_2219537501663772	25	Bora virar o jogo, ser verdadeiro e coerente. Força Haddad e beijão para Manu.
292005268190324_2219536264997229	54	Já conseguiu os 18 milhões de votos? 😂😂😂😂😂
292005268190324_292008971523287	10	Gostaria de saber que horário o senhor vai está em Juazeiro do Norte
292005268190324_292009864856531	35	Chama o Cid Gomes
292005268190324_2219537314997124	27	O nordeste e o povo sangue bom do sul,vai de 13.
292005268190324_189915335153793	12	Brasil urgente Haddad presidente 💜. Google, Qual o pior político do mundo? Digita lá e espera a resposta
292005268190324_2219536664997189	20	Haddad a PB está contigo.
292005268190324_2219536354997220	17	Para a democracia continuar sendo nosso lastro de defesa
292005268190324_2219536094997246	18	Que Deus continue te abençoando sempre Guerreiro
292005268190324_189912521820741	17	Haddad presidente da Venezuela 😂😂😂😂😂😂😂
292005268190324_2219535574997298	11	13 neles.
292005268190324_292006508190200	17	HaddadPresidente
292005268190324_292006118190239	8	Meu Presidente ♥️
292005268190324_292006124856905	16	#HaddadPresidente #democraciaComHaddad
292005268190324_258990578091138	29	https://g1.globo.com/sp/sao-paulo/noticia/pf-indicia-haddad-por-caixa-2-em-campanha-para-a-prefeitura-de-sp.ghtml
292005268190324_2219538114997044	12	O CARA TEM PREPARO, TARIMBA, PERSONALIDADE, INTELIGÊNCIA.
292005268190324_2219535604997295	11	MEU PRESIDENTEEEEE
292005268190324_292009871523197	3	Em nome de Jesus tu vai ganhar. Pelo bem de todos nós
292005268190324_292006381523546	11	#Caixa2doBolsonaro #haddadsim
292005268190324_242670936598642	8	Bom dia, #HaddadPresidente <3 <3 <3
292005268190324_771043856566265	6	#Haddad13
292005268190324_292008824856635	4	#QueroDebate
292005268190324_292007551523429	5	Haddad Presidente
292005268190324_292008854856632	7	Brasileiros em Paris votam Haddad
292005268190324_292006064856911	7	#Haddadsim
292005268190324_2219537588330430	7	Haddad 13!
292005268190324_292009224856595	6	Isso, reunir os prefeitos, ir pra cima!
292005268190324_292010081523176	6	#Haddad13
292005268190324_292009714856546	4	#HaddadPresidente SIM.
292005268190324_292009801523204	4	Haddad aqui de Barcelona estamos com vc
292005268190324_292009251523259	4	Presidente lindao
292005268190324_2219536138330575	3	Brasil, urgente! Haddad presidente!
292005268190324_292006758190175	4	Tamo junto!
292005268190324_292005918190259	5	13 neles
292005268190324_292006241523560	3	Hadade 13
292005268190324_2219536791663843	3	A Democracia precisa vencer!
292005268190324_189912168487443	3	#Haddad13
292005268190324_242671833265219	4	#Haddadpresidente
292005268190324_189912235154103	2	Tamos juntos com Haddad!!!!
292005268190324_292007694856748	0	Enfeita!!!
292005268190324_292007214856796	1	Coisa de deus
292005268190324_292007934856724	2	HADDAD SIM
292005268190324_292007194856798	2	Obrigada, Jandira!
292005268190324_2219536111663911	3	Obrigada nordeste
292005268190324_189912825154044	4	#HADDAD13
292005268190324_292006631523521	5	Haddad
292005268190324_242671996598536	4	Meu presidente!
292005268190324_292008421523342	3	Tmj. #HaddadPresidente
292005268190324_189912941820699	5	#13 #EleAgora #EleJá
292005268190324_292008208190030	3	#Haddad13 #Viravoto
292005268190324_292010208189830	2	Haddad 13
292005268190324_242672466598489	1	#Haddad13
292005268190324_292009524856565	3	Eu acredito no AMOR
292005268190324_292010511523133	1	Haddad
292005268190324_189912971820696	3	te amo meu presidente
292005268190324_292006678190183	3	Viva Haddad 👏👏👏👏👏👏👏
292005268190324_292009654856552	6	#haddad13 #manunojaburu🇧🇷
292005268190324_292005691523615	2	#Haddadsim
