post_id	date	message	num_likes	num_angry	num_shares
1216504185136925_2759520277501967	2020-02-29T11:01:03+0000	"\"sem politica industrial e de comercio exterior, quebraremos de novo\". assim escrevi aqui em nov/2019. assim permanece. nao e coronavirus, e falta de projeto, e politica economica que so privilegia os ricos. e incompetencia e despreparo! e o brasil entregue ao financismo e ao anti-povo."	4685	31	1714
1216504185136925_2758458894274772	2020-02-28T22:05:29+0000	"orgulhoso de meu governador camilo santana! e assim que o poder democratico civil se impoe ao fascismo e ao milicianismo bandido que , como minoria violenta , suja a boa imagem e o respeito que a policia deve merecer de nosso povo !"	5577	16	348
1216504185136925_2758075524313109	2020-02-28T17:58:43+0000	"marque aquela pessoa que ainda tem simpatia por bolsonaro, peca para assistir ao video e pesquisar sobre esses dados. vamos expor as mentiras de bolsonaro e quem ele realmente e."	5652	67	3408
1216504185136925_2757365104384151	2020-02-28T12:01:51+0000	"bolsonaro esta mentindo para a populacao brasileira. vamos defender a constituicao!"	5413	37	1237
1216504185136925_2755088177945177	2020-02-27T10:42:33+0000	"a maluquice consolidada. sob aplauso da elite brasileira, este teto de gastos. impacta diretamente na vida do povo mais pobre. assim sera tambem com educacao, seguranca, etc. de fora apenas o setor financeiro, para poucas pessoas ficarem ainda mais ricas."	3594	793	2996
1216504185136925_2494345274213192	2020-02-26T14:58:01+0000	"live com ciro gomes"	12518	2007	8258
1216504185136925_2753067298147265	2020-02-26T13:10:43+0000	"logo mais, 12h, farei uma rapida live com voces. vamos falar sobre o momento que nosso pais vive. participe! envie suas perguntas!"	4019	6	178
1216504185136925_2752756968178298	2020-02-26T09:40:57+0000	"\"bichos escrotos\" estes milicianos !"	6150	19	1044
1216504185136925_2752756394845022	2020-02-26T09:40:22+0000	"tudo que fazem e falam se caracteriza por mentira e bandidagem!"	3575	11	573
1216504185136925_2752002074920454	2020-02-25T23:59:03+0000	"acredito na seriedade da jornalista vera magalhaes. se o proprio presidente da republica convoca manifestacoes contra o congresso e o stf, nao resta duvida de que todos aqueles que prezam pela democracia devem reagir. e criminoso excitar a populacao com mentiras contra as instituicoes democraticas e sem causa nenhuma, a nao ser sua agenda anti-pobre, anti-producao e entreguista de nossas riquezas aos estrangeiros. vamos lutar pela preservacao da constituicao e pelo brasil!  que o congresso, sob as liderancas de rodrigo maia e davi alcolumbre, e o stf, com todos os ministros, saibam reagir a essa ameaca."	11512	35	2346
1216504185136925_2751143205006341	2020-02-25T14:12:06+0000	"educacao, educacao, educacao!"	2336	1	362
1216504185136925_2749777461809582	2020-02-24T21:29:05+0000	"sem pagar um centavo de imposto! so no brasil e na estonia!"	3694	924	2323
1216504185136925_2747437725376889	2020-02-23T17:45:47+0000	"libelula deslumbrada, nos aqui no ceara somos e seremos o pior pesadelo de sua familia de canalhas, milicianos e peculatarios corruptos . quanto dinheiro roubado o queiroz depositou na conta da mulher de seu pai, o canalha maior ?"	8579	101	1265
1216504185136925_2745072225613439	2020-02-22T14:45:32+0000	"este e o cara! quem nao tem coragem de lutar,ao manos tenha a decencia de respeitar quem luta!  sobral, liderada por ele, tem a melhor escola publica do brasil e a menor mortalidade infantil, sendo uma cidade do sertao do nordeste pobre. isso so para mencionar dois dados de porque o bolsonarismo bocal e miliciano escolheu esta cidade para nos confrontar com a conivencia vil da auto referida esquerda corrompida do brasil.   em tempo, desde o sacrificio de cid a cidade trabalha estuda e se diverte em perfeita paz!"	2802	2	409
1216504185136925_2744749732312355	2020-02-22T11:33:29+0000	"ha juizes em berlim!"	1046	2	98
1216504185136925_2743543832432945	2020-02-21T20:02:26+0000	"divulguemos!"	823	2	73
1216504185136925_2741505862636742	2020-02-20T22:16:56+0000	"o povo precisa saber como nosso pais esta sendo saqueado!"	3053	100	900
1216504185136925_2741081006012561	2020-02-20T18:27:11+0000	"entrevista coletiva concedida agora."	21527	623	24540
1216504185136925_2740839766036685	2020-02-20T16:27:14+0000	"trabalhadores em greve ou bandidos de alta periculosidade?"	3522	565	819
1216504185136925_2740797139374281	2020-02-20T16:08:27+0000	"se vc  nao tem coragem de lutar ao menos tenha a decencia de respeitar quem luta !"	16045	10	877
1216504185136925_2739350892852239	2020-02-19T23:29:29+0000	"deputado #eduardobolsonaro, sera  necessario que nos matem mesmo antes de permitirmos que milicias controlem o estado do ceara como os canalhas de sua familia fizeram com o rio de janeiro."	9361	105	1130
1216504185136925_2739347386185923	2020-02-19T23:27:09+0000	"eis porque a milicia incrustada na policia militar do ceara tentou matar cid gomes"	3526	17	561
1216504185136925_2739176486203013	2020-02-19T21:35:55+0000	"meu irmao cid gomes foi vitima de dois tiros de arma de fogo por parte de policiais militares amotinados e mascarados em sobral, nossa cidade. ate aqui as informacoes medicas sao de que as balas nao atingiram orgaos vitais apesar de terem mirado seu peito esquerdo. novos exames estao sendo feitos mas a palavra aos familiares e amigos e de que cid nao corre risco de morte. espero serenamente, embora cheio de revolta, que as autoridades responsaveis apresentem prontamente os marginais que tentaram este homicidio barbaro as penas da lei."	15260	528	2266
1216504185136925_2738854796235182	2020-02-19T18:06:45+0000	""	1645	0	252
1216504185136925_2736601853127143	2020-02-18T16:28:49+0000	"me representa ! #somostodospetroleiros"	6155	6	1352
1216504185136925_2736283553158973	2020-02-18T13:39:36+0000	"este presidente e a maior vergonha de nossa historia! enojante!"	3886	905	662
1216504185136925_2736277779826217	2020-02-18T13:36:17+0000	"https://www.aepet.org.br/w3/index.php/conteudo-geral/item/4283-a-importancia-da-greve-dos-petroleiros as"	1885	1	375
1216504185136925_2735197386600923	2020-02-18T00:46:56+0000	"#somostodospetroleiros !"	1988	4	364
1216504185136925_2735084316612230	2020-02-17T23:16:43+0000	""	643	1	54
1216504185136925_2734475723339756	2020-02-17T16:09:01+0000	"demonstracao mais contundente da prostracao ao neoliberalismo com o acucar das politicas sociais compensatorias..."	1151	26	229
1216504185136925_2731912673596061	2020-02-16T13:52:09+0000	"vamos dar voz aos que estao lutando!"	2837	3	1362
1216504185136925_2729645477156114	2020-02-15T12:04:50+0000	"todo o apoio aos que lutam por uma petrobras brasileira   https://aepet.org.br/w3/index.php/conteudo-geral/item/4278-petroleiros-em-greve-fazem-manifestacao-contra-o-silencio-da-midia"	4803	4	2500
1216504185136925_2729643610489634	2020-02-15T12:03:25+0000	"minha turma!"	871	2	26
1216504185136925_2727344294052899	2020-02-14T10:41:00+0000	"hoje e o dia dela! giselle bezerra [?]"	5556	2	62
1216504185136925_2725359510918044	2020-02-13T13:33:25+0000	""	515	0	55
1216504185136925_2724355387685123	2020-02-13T01:10:42+0000	"um video do ano passado que serve para hoje. paulo guedes e incapaz de entender o brasil e nosso povo. e dentro da sua incapacidade revela todos os seus preconceitos e seu desprezo pelo povo mais sofrido do nosso pais."	4467	19	1343
1216504185136925_2724165467704115	2020-02-12T22:47:33+0000	"ja assistiram o #reparebem com andre perfeito? vale conferir!"	1320	0	126
1216504185136925_2723300841123911	2020-02-12T13:24:15+0000	"movimento importantissimo para o brasil!   http://www.esquerdadiario.com.br/faca-parte-da-campanha-somos-todos-petroleiros"	3843	4	1867
1216504185136925_2722258584561470	2020-02-12T00:31:53+0000	"qual a projecao do pib? como se comportara nossa economia? acompanhe!"	4962	27	1759
1216504185136925_2722127874574541	2020-02-11T22:59:33+0000	"agora! #reparebem um otimo papo com andre perfeito. acompanhe!  https://youtu.be/zfapcqtekbo"	549	0	33
1216504185136925_2722056717914990	2020-02-11T22:04:26+0000	"logo mais, as 20h, vamos debater os caminhos da economia do brasil. o pib vai crescer? pra quem? um otimo papo com andre perfeito. acompanhe!  https://youtu.be/zfapcqtekbo"	329	0	29
1216504185136925_2721616611292334	2020-02-11T16:59:13+0000	"#reparebem  hoje, 20h! uma conversa boa com andre perfeito"	956	1	79
1216504185136925_2720037801450215	2020-02-10T22:30:13+0000	"nesta terca-feira, 11/02, o primeiro #reparebem de 2020! com andre perfeito! acompanhe!"	1806	0	190
1216504185136925_2718115041642491	2020-02-09T23:52:53+0000	"quem ainda nao assistiu, vale conferir!"	1554	2	86
1216504185136925_2718104301643565	2020-02-09T23:44:50+0000	""	3445	11	500
1216504185136925_2715855171868478	2020-02-08T21:41:14+0000	"hoje e dia de parabenizar minha querida amiga marina silva! grande brasileira, guerreira e exemplo de luta pelo povo brasileiro. que deus lhe conceda muitos anos com saude e luz!"	6678	9	156
1216504185136925_2715125085274820	2020-02-08T14:06:44+0000	""	3849	25	454
1216504185136925_2713495185437810	2020-02-07T18:20:38+0000	"vamos tod@s ajudar a furar o bloqueio da midia !"	2637	2	1166
1216504185136925_2711370338983628	2020-02-06T18:32:22+0000	""	1498	10	101
1216504185136925_2711323292321666	2020-02-06T18:00:37+0000	"por isso a nova marketagem do baronato e a denuncia da desigualdade enquanto apoiam e executam a mais selvagem agenda de construcao de miseria e violencia de nossa historia !"	2472	111	1294
1216504185136925_2711321865655142	2020-02-06T17:59:37+0000	"queremos a inteligencia de nossa militancia! vamos la, turma boa!"	533	0	30
1216504185136925_2710867175700611	2020-02-06T13:28:53+0000	"o que vira pela frente em nosso pais vai exigir cada vez mais de nossa luta. assista!"	1062	1	63
1216504185136925_2709355872518408	2020-02-05T18:20:13+0000	"bolsonaro esta fraudando os numeros da economia !"	1352	30	330
1216504185136925_2708795695907759	2020-02-05T13:20:06+0000	"uma otima conversa com marco antonio villa! acompanhe!"	2189	1	451
1216504185136925_2705461009574561	2020-02-03T22:30:44+0000	"concedi uma entrevista maravilhosa nesta tarde para marco antonio villa.  vai ao ar na quarta-feira no canal dele no youtube. acompanhe!"	5066	3	450
1216504185136925_2705085242945471	2020-02-03T17:57:58+0000	"mais um #reparebem sendo gravado! em breve! "	1599	2	52
1216504185136925_2703083083145687	2020-02-02T17:34:48+0000	"isto e enojante! deixar brasileiros no risco maximo abandonados enquanto gasta no cartao corporativo com mordomias recorde e transforma a fab numa empresa de turismo para a familia e auxiliares deslumbrados! nao sente vergonha, bolsonaro ?"	3185	350	686
1216504185136925_2702837009836961	2020-02-02T15:04:50+0000	"texto notavel ! irrespondivel !"	708	0	90
1216504185136925_2701147883339207	2020-02-01T18:29:00+0000	"como se explica isto senao pelo acobertamento dos bandidos ?"	1932	262	394
1216504185136925_2699517366835592	2020-01-31T23:17:49+0000	"#aovivo em franco da rocha (sp). acompanhe! https://www.youtube.com/watch?v=hg1v5i_yjxi"	247	0	15
1216504185136925_2699087733545222	2020-01-31T18:51:14+0000	"este e o primeiro de 20 anos desta maluquice criminosa de congelar o gasto publico por emenda constitucional deixando sem qualquer controle o gasto com a agiotagem ! imaginem o descalabro que vem por ai..."	2079	550	1768
1216504185136925_2697597957027533	2020-01-31T00:28:52+0000	"debate sobre educacao, em itaquaquecetuba (sp).   #educacao"	1095	0	46
1216504185136925_2697321333721862	2020-01-30T20:45:11+0000	"#aovivo  concedo entrevista agora para jairzinho ambrosio, da tv cenario. acompanhe!"	753	0	92
1216504185136925_2696723057115023	2020-01-30T14:08:16+0000	"e hoje! participe!"	496	0	38
1216504185136925_2696720570448605	2020-01-30T14:06:46+0000	"importante esclarecimento!"	880	1	401
1216504185136925_2695714870549175	2020-01-30T01:13:14+0000	"este encontro de incompetencia e falta de empatia e terrivel para o brasil ! imaginemos quanto devastador e para nossos jovens ver o sistema produzir tanta inconfiabilidade e cretinice ! canalhas !"	3178	489	746
1216504185136925_2683290688458260	2020-01-23T15:31:20+0000	""	241	0	12
1216504185136925_2683184828468846	2020-01-23T14:27:24+0000	"encontro muito agradavel com os queridos amigos eduardo moreira e juliana baroni. dedicacao ao nosso pais e testemunho de vida de solidariedade aos brasileiros mais pobres."	5908	1	267
1216504185136925_2681459791974683	2020-01-22T16:50:21+0000	"comemorar e celebrar o exemplo de coragem, amor ao brasil e compromisso de emancipar nosso povo pobre pela educacao!"	889	0	98
1216504185136925_2679574618829867	2020-01-21T16:45:06+0000	"sem pe nem cabeca esta denuncia contra o jornalista glenn greenwald. o jornalismo e tarefa essencial a democracia e as liberdades individuais e publicas. o que glenn fez foi o mais genuino jornalismo.   abusa - e muito - o membro do ministerio publico que avanca no constrangimento ilegal a liberdade de informacao protegida pela constituicao federal. repudio com toda veemencia esta atitude descabida!  so o bolsonarismo bocal explica a motivacao deste cidadao que deslustra o ministerio publico federal e compromete a boa imagem que a instituicao deve merecer junto a nacao. que os tribunais facam cessar este abuso o quanto antes!"	4750	1084	1163
1216504185136925_2671551726298823	2020-01-17T13:44:54+0000	"um canalha destes tem que ser demitido ou canalha mor sera aquele que o mantiver. milhoes de seres humanos foram mortos como consequencia deste tipo de discurso!"	9056	2053	2481
1216504185136925_2670070629780266	2020-01-16T19:23:45+0000	"passo em falso muito grave deste presidente despreparado e entreguista!"	1462	30	186
1216504185136925_2669120929875236	2020-01-16T10:16:48+0000	"bom dia! estarei hoje na universidade do estado da bahia, em salvador!  participe!"	2328	4	230
1216504185136925_2663805217073474	2020-01-13T20:59:02+0000	"vamos seguir na luta pelo brasil!"	3371	5	991
1216504185136925_2646906055430057	2020-01-05T23:09:00+0000	"isto em pleno sertao nordestino! imaginem o que se poderia fazer no brasil!"	4850	1	858
