post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2878974912183113	2020-02-29T11:23:27+0000	"bolsonavirus: nada mais erroneo do que considerar bolsonaro um acidente de percurso. ele e a recidiva agressiva de nossas patologias insuperadas, em face de um sistema imunologico debilitado. ele tanto intui isso que as mentiras que dissemina nao sao camufladas, o que lhe permite aferir com precisao o grau de adesao cega a seu movimento pestilento."	4996	58	818
904277726319518_2878783568868914	2020-02-29T09:21:22+0000	"bolsonavirus: nada mais erroneo do que considerar bolsonaro um raio em ceu azul ou um acidente de percurso. bolsonaro e a recidiva agressiva de nossas patologias insuperadas, em face de um sistema imunologico debilitado. ele tanto intui isso que as mentiras que dissemina nao sao camufladas, o que lhe permite aferir com precisao o grau de adesao cega a seu movimento pestilento."	2602	19	477
904277726319518_2875616525852285	2020-02-28T00:14:25+0000	"cristiano zanin, advogado de lula, e fernando haddad discutem as novidades nos processos contra lula: as revelacoes de que a policia federal admitiu que os arquivos da odebrecht usados pela lava jato podem ter sido manipulados. e mais: a existencia de documentos que provam que sergio moro abriu um inquerito contra lula na pf com a lei de seguranca nacional, e depois mentiu quando isso foi descoberto.  video: ricardo stuckert"	3068	20	540
904277726319518_2872245456189392	2020-02-26T12:12:56+0000	"nem disney, nem pao ha um ano, governo bolsonaro ja sabia da falta de dinheiro para o bolsa familia. ao menos cinco vezes, ministerio da cidadania pediu dinheiro para que a fila de espera continuasse zerada, mas junta orcamentaria barrou pleitos."	3148	616	1068
904277726319518_2871255852955019	2020-02-26T00:58:59+0000	"bolsonaro, ao que tudo indica, cometeu crime de responsabilidade previsto na constituicao que jurou respeitar mas, certamente, nunca leu."	21619	77	1369
904277726319518_2868531243227480	2020-02-24T19:51:01+0000	"o impacto do fundeb, que criamos, na qualidade da educacao do nordeste."	10571	2	3249
904277726319518_2863199017094036	2020-02-22T13:03:28+0000	"cronica da semana. nao podemos descuidar de dois problemas que a ascensao da extrema direita fez ressurgir. o fortalecimento das milicias e o conflito federativo. com e por bolsonaro, criou-se uma perigosa tensao entre os governos estaduais e as policias militares."	2718	34	528
904277726319518_2862087573871847	2020-02-22T00:18:55+0000	"bem que me falaram que o carnaval de rua de sp nao ia rolar. triste, ne?"	29857	14	1289
904277726319518_2858610960886175	2020-02-20T11:28:49+0000	"ha clara tentativa de desestabilizar um dos melhores governos da historia do ceara. camilo santana, com sua habitual firmeza e sobriedade, sabera enfrentar mais esse desafio. todo apoio ao governador.  e meu desejo de pronto restabelecimento ao senador cid gomes, um dos melhores quadros politicos do nordeste."	9914	7	588
904277726319518_2855332637880674	2020-02-18T20:38:19+0000	"em brasilia, discutindo a oposicao por um brasil mais justo e democratico.  foto: ricardo stuckert"	9555	20	541
